statecode,year,bevvehsubdum_year,bevamt_year,bevvehsub_MSRPmax,bevvehsub_minmiles,phevvehsubdum_year,phevamt_year,phevvehsub_MSRPmax,phevvehsub_minmiles,hchgsubdum_year,hchgsubamt_year,bevannualfeedum_year,bevannualfeeamt_year,phevannualfeedum_year
AK,2010,0,0,,,0,0,,,0,0,0,0,0
AK,2011,0,0,,,0,0,,,0,0,0,0,0
AK,2012,0,0,,,0,0,,,0,0,0,0,0
AK,2013,0,0,,,0,0,,,0,0,0,0,0
AK,2014,0,0,,,0,0,,,0,0,0,0,0
AK,2015,0,0,,,0,0,,,0,0,0,0,0
AK,2016,0,0,,,0,0,,,0,0,0,0,0
AK,2017,0,0,,,0,0,,,0,0,0,0,0
AK,2018,0,0,,,0,0,,,0,0,0,0,0
AK,2019,0,0,,,0,0,,,,,,,
AK,2020,0,0,,,0,0,,,,,,,
AL,2010,0,0,,,0,0,,,0,0,0,0,0
AL,2011,0,0,,,0,0,,,0,0,0,0,0
AL,2012,0,0,,,0,0,,,0,0,0,0,0
AL,2013,0,0,,,0,0,,,0,0,0,0,0
AL,2014,0,0,,,0,0,,,0,0,0,0,0
AL,2015,0,0,,,0,0,,,0,0,0,0,0
AL,2016,0,0,,,0,0,,,0,0,0,0,0
AL,2017,0,0,,,0,0,,,0,0,0,0,0
AL,2018,0,0,,,0,0,,,0,0,0,0,0
AL,2019,0,0,,,0,0,,,,,,,
AL,2020,0,0,,,0,0,,,,,,,
AR,2010,0,0,,,0,0,,,0,0,0,0,0
AR,2011,0,0,,,0,0,,,0,0,0,0,0
AR,2012,0,0,,,0,0,,,0,0,0,0,0
AR,2013,0,0,,,0,0,,,0,0,0,0,0
AR,2014,0,0,,,0,0,,,0,0,0,0,0
AR,2015,0,0,,,0,0,,,0,0,0,0,0
AR,2016,0,0,,,0,0,,,0,0,0,0,0
AR,2017,0,0,,,0,0,,,0,0,0,0,0
AR,2018,0,0,,,0,0,,,0,0,0,0,0
AR,2019,0,0,,,0,0,,,,,,,
AR,2020,0,0,,,0,0,,,,,,,
AZ,2010,0,0,,,0,0,,,1,75,0,0,0
AZ,2011,0,0,,,0,0,,,1,75,0,0,0
AZ,2012,0,0,,,0,0,,,1,75,0,0,0
AZ,2013,0,0,,,0,0,,,1,75,0,0,0
AZ,2014,0,0,,,0,0,,,1,75,0,0,0
AZ,2015,0,0,,,0,0,,,1,75,0,0,0
AZ,2016,0,0,,,0,0,,,1,75,0,0,0
AZ,2017,0,0,,,0,0,,,1,75,0,0,0
AZ,2018,0,0,,,0,0,,,0,0,0,0,0
AZ,2019,0,0,,,0,0,,,,,,,
AZ,2020,0,0,,,0,0,,,,,,,
CA,2010,1,2500,0,0,1,1500,,,0,0,0,0,0
CA,2011,1,2500,0,0,1,1500,,,0,0,0,0,0
CA,2012,1,2500,0,0,1,1500,,,0,0,0,0,0
CA,2013,1,2500,0,0,1,1500,,,0,0,0,0,0
CA,2014,1,2500,0,0,1,1500,,,0,0,0,0,0
CA,2015,1,2500,0,0,1,1500,,,0,0,0,0,0
CA,2016,1,2500,0,0,1,1500,,,0,0,0,0,0
CA,2017,1,2500,0,0,1,1500,,,0,0,1,100,0
CA,2018,1,2500,0,0,1,1500,,,0,0,1,100,0
CA,2019,1,2500,60000,0,1,1000,60000,35,,,,,
CA,2020,1,2000,60000,0,1,1000,60000,35,,,,,
CO,2010,0,0,,,0,0,,,1,200,0,0,0
CO,2011,1,6000,0,0,1,6000,,,0,0,0,0,0
CO,2012,1,6000,0,0,1,6000,,,0,0,0,0,0
CO,2013,1,6000,0,0,1,6000,,,0,0,1,50,1
CO,2014,1,6000,0,0,1,6000,,,0,0,1,50,1
CO,2015,1,6000,0,0,1,6000,,,0,0,1,50,1
CO,2016,1,5000,0,0,1,5000,,,0,0,1,50,1
CO,2017,1,5000,0,0,1,5000,,,0,0,1,50,1
CO,2018,1,5000,0,0,1,5000,,,0,0,1,50,1
CO,2019,1,5000,0,0,1,5000,0,0,,,,,
CO,2020,1,4000,0,0,1,4000,0,0,,,,,
CT,2010,0,0,,,0,0,,,0,0,0,0,0
CT,2011,0,0,,,0,0,,,0,0,0,0,0
CT,2012,0,0,,,0,0,,,0,0,0,0,0
CT,2013,0,0,,,0,0,,,0,0,0,0,0
CT,2014,0,0,,,0,0,,,0,0,0,0,0
CT,2015,1,3000,0,0,1,1500,,,0,0,0,0,0
CT,2016,1,3000,0,0,1,1500,,,0,0,0,0,0
CT,2017,1,3000,0,0,1,1500,,,0,0,0,0,0
CT,2018,1,2000,0,0,1,1000,,,0,0,0,0,0
CT,2019,1,2000,42000,200,1,500,42000,0,,,,,
CT,2020,1,1500,42000,200,1,500,42000,0,,,,,
DE,2010,0,0,,,0,0,,,0,0,0,0,0
DE,2011,0,0,,,0,0,,,0,0,0,0,0
DE,2012,0,0,,,0,0,,,0,0,0,0,0
DE,2013,0,0,,,0,0,,,0,0,0,0,0
DE,2014,0,0,,,0,0,,,0,0,0,0,0
DE,2015,1,2200,0,0,1,2200,,,1,500,0,0,0
DE,2016,1,3500,60000,0,1,1500,,,1,500,0,0,0
DE,2017,1,3500,60000,0,1,1500,,,1,500,0,0,0
DE,2018,1,3000,60000,0,1,1500,,,1,500,0,0,0
DE,2019,1,3500,60000,0,1,1500,60000,0,,,,,
DE,2020,1,2500,60000,0,1,1000,60000,0,,,,,
FL,2010,0,0,,,0,0,,,0,0,0,0,0
FL,2011,0,0,,,0,0,,,0,0,0,0,0
FL,2012,0,0,,,0,0,,,0,0,0,0,0
FL,2013,0,0,,,0,0,,,0,0,0,0,0
FL,2014,0,0,,,0,0,,,0,0,0,0,0
FL,2015,0,0,,,0,0,,,0,0,0,0,0
FL,2016,0,0,,,0,0,,,0,0,0,0,0
FL,2017,0,0,,,0,0,,,0,0,0,0,0
FL,2018,0,0,,,0,0,,,0,0,0,0,0
FL,2019,0,0,,,0,0,,,,,,,
FL,2020,0,0,,,0,0,,,,,,,
GA,2010,1,5000,0,0,0,0,,,0,0,0,0,0
GA,2011,1,5000,0,0,0,0,,,0,0,0,0,0
GA,2012,1,5000,0,0,0,0,,,0,0,0,0,0
GA,2013,1,5000,0,0,0,0,,,0,0,0,0,0
GA,2014,1,5000,0,0,0,0,,,0,0,0,0,0
GA,2015,1,5000,0,0,0,0,,,0,0,1,200,1
GA,2016,0,0,,,0,0,,,0,0,1,200,1
GA,2017,0,0,,,0,0,,,0,0,1,200,1
GA,2018,0,0,,,0,0,,,0,0,1,213.69,1
GA,2019,0,0,,,0,0,,,,,,,
GA,2020,0,0,,,0,0,,,,,,,
HI,2010,1,4500,0,0,1,4500,,,1,500,0,0,0
HI,2011,1,4500,0,0,1,4500,,,1,500,0,0,0
HI,2012,1,4500,0,0,1,4500,,,1,500,0,0,0
HI,2013,0,0,,,0,0,,,0,0,0,0,0
HI,2014,0,0,,,0,0,,,0,0,0,0,0
HI,2015,0,0,,,0,0,,,0,0,0,0,0
HI,2016,0,0,,,0,0,,,0,0,0,0,0
HI,2017,0,0,,,0,0,,,0,0,0,0,0
HI,2018,0,0,,,0,0,,,0,0,0,0,0
HI,2019,0,0,,,0,0,,,,,,,
HI,2020,0,0,,,0,0,,,,,,,
IA,2010,0,0,,,0,0,,,0,0,0,0,0
IA,2011,0,0,,,0,0,,,0,0,0,0,0
IA,2012,0,0,,,0,0,,,0,0,0,0,0
IA,2013,0,0,,,0,0,,,0,0,0,0,0
IA,2014,0,0,,,0,0,,,0,0,0,0,0
IA,2015,0,0,,,0,0,,,0,0,0,0,0
IA,2016,0,0,,,0,0,,,0,0,0,0,0
IA,2017,0,0,,,0,0,,,0,0,0,0,0
IA,2018,0,0,,,0,0,,,0,0,0,0,0
IA,2019,0,0,,,0,0,,,,,,,
IA,2020,0,0,,,0,0,,,,,,,
ID,2010,0,0,,,0,0,,,0,0,0,0,0
ID,2011,0,0,,,0,0,,,0,0,0,0,0
ID,2012,0,0,,,0,0,,,0,0,0,0,0
ID,2013,0,0,,,0,0,,,0,0,0,0,0
ID,2014,0,0,,,0,0,,,0,0,0,0,0
ID,2015,0,0,,,0,0,,,0,0,1,140,1
ID,2016,0,0,,,0,0,,,0,0,1,140,1
ID,2017,0,0,,,0,0,,,0,0,1,140,1
ID,2018,0,0,,,0,0,,,0,0,1,140,1
ID,2019,0,0,,,0,0,,,,,,,
ID,2020,0,0,,,0,0,,,,,,,
IL,2010,1,4000,0,0,1,4000,,,0,0,0,0,0
IL,2011,1,4000,0,0,1,4000,,,0,0,0,0,0
IL,2012,1,4000,0,0,1,4000,,,0,0,0,0,0
IL,2013,1,4000,0,0,1,4000,,,1,500,0,0,0
IL,2014,1,4000,0,0,1,4000,,,1,500,0,0,0
IL,2015,1,4000,0,0,1,4000,,,1,500,0,0,0
IL,2016,0,0,,,0,0,,,0,0,0,0,0
IL,2017,0,0,,,0,0,,,0,0,0,0,0
IL,2018,0,0,,,0,0,,,0,0,0,0,0
IL,2019,0,0,,,0,0,,,,,,,
IL,2020,0,0,,,0,0,,,,,,,
IN,2010,0,0,,,0,0,,,0,0,0,0,0
IN,2011,0,0,,,0,0,,,0,0,0,0,0
IN,2012,0,0,,,0,0,,,0,0,0,0,0
IN,2013,0,0,,,0,0,,,0,0,0,0,0
IN,2014,0,0,,,0,0,,,0,0,0,0,0
IN,2015,0,0,,,0,0,,,0,0,0,0,0
IN,2016,0,0,,,0,0,,,0,0,0,0,0
IN,2017,0,0,,,0,0,,,0,0,1,150,1
IN,2018,0,0,,,0,0,,,0,0,1,150,1
IN,2019,0,0,,,0,0,,,,,,,
IN,2020,0,0,,,0,0,,,,,,,
KS,2010,0,0,,,0,0,,,0,0,0,0,0
KS,2011,0,0,,,0,0,,,0,0,0,0,0
KS,2012,0,0,,,0,0,,,0,0,0,0,0
KS,2013,0,0,,,0,0,,,0,0,0,0,0
KS,2014,0,0,,,0,0,,,0,0,0,0,0
KS,2015,0,0,,,0,0,,,0,0,0,0,0
KS,2016,0,0,,,0,0,,,0,0,0,0,0
KS,2017,0,0,,,0,0,,,0,0,0,0,0
KS,2018,0,0,,,0,0,,,0,0,0,0,0
KS,2019,0,0,,,0,0,,,,,,,
KS,2020,0,0,,,0,0,,,,,,,
KY,2010,0,0,,,0,0,,,0,0,0,0,0
KY,2011,0,0,,,0,0,,,0,0,0,0,0
KY,2012,0,0,,,0,0,,,0,0,0,0,0
KY,2013,0,0,,,0,0,,,0,0,0,0,0
KY,2014,0,0,,,0,0,,,0,0,0,0,0
KY,2015,0,0,,,0,0,,,0,0,0,0,0
KY,2016,0,0,,,0,0,,,0,0,0,0,0
KY,2017,0,0,,,0,0,,,0,0,0,0,0
KY,2018,0,0,,,0,0,,,0,0,0,0,0
KY,2019,0,0,,,0,0,,,,,,,
KY,2020,0,0,,,0,0,,,,,,,
LA,2010,1,3000,0,0,0,0,,,1,250,0,0,0
LA,2011,1,3000,0,0,0,0,,,1,250,0,0,0
LA,2012,1,3000,0,0,0,0,,,1,250,0,0,0
LA,2013,1,3000,0,0,0,0,,,1,250,0,0,0
LA,2014,1,3000,0,0,0,0,,,1,250,0,0,0
LA,2015,1,1500,0,0,0,0,,,1,250,0,0,0
LA,2016,1,1500,0,0,0,0,,,0,0,0,0,0
LA,2017,1,2500,0,0,0,0,,,0,0,0,0,0
LA,2018,1,2500,0,0,0,0,,,0,0,0,0,0
LA,2019,1,2500,0,0,0,0,0,0,,,,,
LA,2020,1,2500,0,0,0,0,0,0,,,,,
MA,2010,0,0,,,0,0,,,0,0,0,0,0
MA,2011,0,0,,,0,0,,,0,0,0,0,0
MA,2012,0,0,,,0,0,,,0,0,0,0,0
MA,2013,1,2500,0,0,1,1500,,,0,0,0,0,0
MA,2014,1,2500,0,0,1,1500,,,0,0,0,0,0
MA,2015,1,2500,0,0,1,1500,,,0,0,0,0,0
MA,2016,1,2500,60000,0,1,1500,,,0,0,0,0,0
MA,2017,1,2500,60000,0,1,1500,,,0,0,0,0,0
MA,2018,1,2500,60000,0,1,1500,,,0,0,0,0,0
MA,2019,1,2500,50000,0,1,1500,50000,0,,,,,
MA,2020,1,2500,50000,0,1,1500,50000,0,,,,,
MD,2010,1,2000,0,0,1,2000,,,0,0,0,0,0
MD,2011,1,2000,0,0,1,2000,,,1,400,0,0,0
MD,2012,1,2000,0,0,1,2000,,,1,400,0,0,0
MD,2013,1,1000,0,0,1,600,,,1,400,0,0,0
MD,2014,1,3000,0,0,1,1000,,,1,400,0,0,0
MD,2015,1,3000,0,0,1,1000,,,1,400,0,0,0
MD,2016,1,3000,0,0,1,1000,,,1,400,0,0,0
MD,2017,1,3000,63000,0,1,3000,,,1,400,0,0,0
MD,2018,1,3000,63000,0,1,3000,,,1,400,0,0,0
MD,2019,1,3000,63000,0,1,3000,63000,0,,,,,
MD,2020,1,3000,63000,0,1,3000,63000,0,,,,,
ME,2010,0,0,,,0,0,,,0,0,0,0,0
ME,2011,0,0,,,0,0,,,0,0,0,0,0
ME,2012,0,0,,,0,0,,,0,0,0,0,0
ME,2013,0,0,,,0,0,,,0,0,0,0,0
ME,2014,0,0,,,0,0,,,0,0,0,0,0
ME,2015,0,0,,,0,0,,,0,0,0,0,0
ME,2016,0,0,,,0,0,,,0,0,0,0,0
ME,2017,0,0,,,0,0,,,0,0,0,0,0
ME,2018,0,0,,,0,0,,,0,0,0,0,0
ME,2019,1,2000,50000,0,1,1000,50000,0,,,,,
ME,2020,1,2000,50000,0,1,1000,50000,0,,,,,
MI,2010,0,0,,,0,0,,,0,0,0,0,0
MI,2011,0,0,,,0,0,,,0,0,0,0,0
MI,2012,0,0,,,0,0,,,0,0,0,0,0
MI,2013,0,0,,,0,0,,,0,0,0,0,0
MI,2014,0,0,,,0,0,,,0,0,0,0,0
MI,2015,0,0,,,0,0,,,0,0,0,0,0
MI,2016,0,0,,,0,0,,,0,0,1,135,1
MI,2017,0,0,,,0,0,,,0,0,1,135,1
MI,2018,0,0,,,0,0,,,0,0,1,135,1
MI,2019,0,0,,,0,0,,,,,,,
MI,2020,0,0,,,0,0,,,,,,,
MN,2010,0,0,,,0,0,,,0,0,0,0,0
MN,2011,0,0,,,0,0,,,0,0,0,0,0
MN,2012,0,0,,,0,0,,,0,0,0,0,0
MN,2013,0,0,,,0,0,,,0,0,0,0,0
MN,2014,0,0,,,0,0,,,0,0,0,0,0
MN,2015,0,0,,,0,0,,,0,0,0,0,0
MN,2016,0,0,,,0,0,,,0,0,0,0,0
MN,2017,0,0,,,0,0,,,0,0,1,75,0
MN,2018,0,0,,,0,0,,,0,0,1,75,0
MN,2019,0,0,,,0,0,,,,,,,
MN,2020,0,0,,,0,0,,,,,,,
MO,2010,0,0,,,0,0,,,0,0,1,75,1
MO,2011,0,0,,,0,0,,,0,0,1,75,1
MO,2012,0,0,,,0,0,,,0,0,1,75,1
MO,2013,0,0,,,0,0,,,0,0,1,75,1
MO,2014,0,0,,,0,0,,,1,1500,1,75,1
MO,2015,0,0,,,0,0,,,1,1500,1,75,1
MO,2016,0,0,,,0,0,,,1,1500,1,75,1
MO,2017,0,0,,,0,0,,,1,1500,1,75,1
MO,2018,0,0,,,0,0,,,1,1500,1,75,1
MO,2019,0,0,,,0,0,,,,,,,
MO,2020,0,0,,,0,0,,,,,,,
MS,2010,0,0,,,0,0,,,0,0,0,0,0
MS,2011,0,0,,,0,0,,,0,0,0,0,0
MS,2012,0,0,,,0,0,,,0,0,0,0,0
MS,2013,0,0,,,0,0,,,0,0,0,0,0
MS,2014,0,0,,,0,0,,,0,0,0,0,0
MS,2015,0,0,,,0,0,,,0,0,0,0,0
